"","name","nowConfirm","confirm","suspect","dead","deadRate","showRate","heal","healRate","showHeal"
"1","Hong Kong",645,1009,0,4,"0.40",FALSE,360,"35.68",TRUE
"2","Taiwan",273,393,0,6,"1.53",FALSE,114,"29.01",TRUE
"3","Heilongjiang",257,740,0,13,"1.76",FALSE,470,"63.51",TRUE
"4","Hubei",244,67803,0,3221,"4.75",FALSE,64338,"94.89",TRUE
"5","Shanghai",165,618,0,7,"1.13",FALSE,446,"72.17",TRUE
"6","Inner Mongolia",106,190,0,1,"0.53",FALSE,83,"43.68",TRUE
"7","Beijing",97,589,0,8,"1.36",FALSE,484,"82.17",TRUE
"8","Guangdong",93,1555,0,8,"0.51",FALSE,1454,"93.50",TRUE
"9","Shanxi",38,173,0,0,"0.00",FALSE,135,"78.03",TRUE
"10","Macau",32,45,0,0,"0.00",FALSE,13,"28.89",TRUE
"11","Zhejiang",27,1267,0,1,"0.08",FALSE,1239,"97.79",TRUE
"12","Fujian",26,352,0,1,"0.28",FALSE,325,"92.33",TRUE
"13","Shandong",19,784,0,7,"0.89",FALSE,758,"96.68",TRUE
"14","Tianjin",17,184,0,3,"1.63",FALSE,164,"89.13",TRUE
"15","Jiangsu",15,653,0,0,"0.00",FALSE,638,"97.70",TRUE
"16","Sichuan",9,560,0,3,"0.54",FALSE,548,"97.86",TRUE
"17","Hebei",8,327,0,6,"1.83",FALSE,313,"95.72",TRUE
"18","Yunnan",8,184,0,2,"1.09",FALSE,174,"94.57",TRUE
"19","Liaoning",7,145,0,2,"1.38",FALSE,136,"93.79",TRUE
"20","Shaanxi",5,256,0,3,"1.17",FALSE,248,"96.88",TRUE
"21","Jilin",3,100,0,1,"1.00",FALSE,96,"96.00",TRUE
"22","Chongqing",3,579,0,6,"1.04",FALSE,570,"98.45",TRUE
"23","Gansu",2,139,0,2,"1.44",FALSE,135,"97.12",TRUE
"24","Hunan",1,1019,0,4,"0.39",FALSE,1014,"99.51",TRUE
"25","Guizhou",1,147,0,2,"1.36",FALSE,144,"97.96",TRUE
"26","Henan",1,1276,0,22,"1.72",FALSE,1253,"98.20",TRUE
"27","Anhui",1,991,0,6,"0.61",FALSE,984,"99.29",TRUE
"28","Guangxi",0,254,0,2,"0.79",FALSE,252,"99.21",TRUE
"29","Jiangxi",0,937,0,1,"0.11",FALSE,936,"99.89",TRUE
"30","Hainan",0,168,0,6,"3.57",FALSE,162,"96.43",TRUE
"31","Qinghai",0,18,0,0,"0.00",FALSE,18,"100.00",TRUE
"32","Tibet",0,1,0,0,"0.00",FALSE,1,"100.00",TRUE
"33","Ningxia",0,75,0,0,"0.00",FALSE,75,"100.00",TRUE
"34","Xinjiang",0,76,0,3,"3.95",FALSE,73,"96.05",TRUE
